#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-09-16-05-00-03
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1568624400.283239	CmzHq32KSJuNDCPLmk	10.6.12.106	49218	54.89.217.80	80	SYN_inside_connection	-	F	zeek
1568624401.134199	COXN7ie4ng3qtI8U5	10.8.2.102	49279	23.21.138.252	80	premature_connection_reuse	-	F	zeek
1568624401.134212	CVlhgu3RrKmlM7JWO5	10.8.2.102	49281	184.168.134.131	80	premature_connection_reuse	-	F	zeek
1568624401.134283	CmQObK29l9EbceRI3l	10.8.2.102	49282	185.188.182.34	80	premature_connection_reuse	-	F	zeek
1568624401.134294	CEru9d1BibzbMkQun9	10.8.2.102	49283	184.168.134.131	80	premature_connection_reuse	-	F	zeek
1568624401.134357	CTgjupxHJpQXppJ69	10.8.2.102	49284	185.188.182.34	80	premature_connection_reuse	-	F	zeek
1568624401.134602	CDt9BF4x6LzOYDcfTc	10.8.2.102	49285	185.188.182.34	80	premature_connection_reuse	-	F	zeek
1568624401.134669	CZRUlf1hLDLsIisSm5	10.8.2.102	49286	185.188.182.34	80	premature_connection_reuse	-	F	zeek
1568624401.134744	CWwqedUUyWw454Ar4	10.8.2.102	49287	185.188.182.34	80	premature_connection_reuse	-	F	zeek
1568624401.135300	CcPaWX1yvrsntLt4dc	10.8.2.102	49288	185.188.182.34	80	premature_connection_reuse	-	F	zeek
1568624401.135351	CMg8zn1cwtJr4jdeff	10.8.2.102	49289	185.188.182.34	80	premature_connection_reuse	-	F	zeek
1568624401.135831	Cj6hfIAOVMNTArowa	10.8.2.102	49290	185.188.182.34	80	premature_connection_reuse	-	F	zeek
1568624401.135879	CYvlas2veJoeBzEKV5	10.8.2.102	49291	185.188.182.34	80	premature_connection_reuse	-	F	zeek
1568624403.788946	CA2DGV3egEZkz2fItg	10.3.31.104	49165	47.90.205.113	80	inflate_failed	-	F	zeek
1568624404.798658	CvWCYH15LhDhnJ7dUe	10.5.1.104	49165	185.100.85.150	80	SYN_inside_connection	-	F	zeek
1568624404.798664	CBqjgg4dJCXETExWoi	10.5.1.104	49166	185.100.85.150	443	SYN_inside_connection	-	F	zeek
1568624404.919174	C9B4ti1ZIv674yjz12	10.220.170.150	44514	74.125.34.46	443	active_connection_reuse	-	F	zeek
1568624404.945802	CMiDWf4x7nDVoiSlA6	10.220.170.150	44516	74.125.34.46	443	active_connection_reuse	-	F	zeek
1568624405.451775	ClXSLt4ljhT70OtWWb	10.8.8.102	49159	198.23.241.227	80	premature_connection_reuse	-	F	zeek
1568624405.451788	CNvo7C3s2VadY25fWc	10.8.8.102	49169	103.198.0.2	443	active_connection_reuse	-	F	zeek
1568624405.451789	CuUITw2OG4kQPtsv78	10.8.8.102	49170	103.198.0.2	443	active_connection_reuse	-	F	zeek
1568624405.451825	CFkjdzxpkEPiYD4V4	10.8.8.102	49177	103.198.0.2	443	active_connection_reuse	-	F	zeek
1568624405.451826	CQg6OF2K0R02hyFAX8	10.8.8.102	49178	103.198.0.2	443	active_connection_reuse	-	F	zeek
1568624405.967081	Ck5dWv3cYSXD0hasx3	10.4.18.104	49167	119.59.120.59	80	premature_connection_reuse	-	F	zeek
1568624405.967119	CRvOGxdJk0x8WG537	10.4.18.104	49172	207.5.165.140	80	premature_connection_reuse	-	F	zeek
1568624405.967815	C2NjnQ1wuNFw1BWqsd	10.4.18.104	49174	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.967824	CSwOe83h9KESl63YA6	10.4.18.104	49175	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.967845	C5epIk1zrXuSC3WJEl	10.4.18.104	49176	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.967855	CvHwIr3CxgTGXxeOKd	10.4.18.104	49177	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.967882	CRXOaVleCoFRkCPii	10.4.18.104	49178	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.967884	CYGukk2lQkyec04IY6	10.4.18.104	49179	216.58.218.206	80	premature_connection_reuse	-	F	zeek
1568624405.967895	C4KaoG4S6d1TBAlTde	10.4.18.104	49180	216.58.218.100	80	premature_connection_reuse	-	F	zeek
1568624405.967905	CIkZvv33pbbMteBmb2	10.4.18.104	49181	216.58.218.100	443	premature_connection_reuse	-	F	zeek
1568624405.968201	CUPrkv2Bh4BaCFXSd7	10.4.18.104	49182	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.968201	CZMblQFj1AvEzhoQg	10.4.18.104	49183	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.968212	CJpqgqOwOJq5uiDFl	10.4.18.104	49184	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.969192	CwX52azvSvEqDBxec	10.4.18.104	49185	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.969202	CWL85X1bFMW7tqfAt	10.4.18.104	49186	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.969217	CLLWuq4D8ZNsxk8p6b	10.4.18.104	49187	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.969246	Cvi3lSz4BPEmsPPha	10.4.18.104	49188	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.969627	Cx8hlf4luIqYkAhiXf	10.4.18.104	49189	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.969637	CJJvwk1Lf8phPvfNKf	10.4.18.104	49190	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.969649	CF6JiL3taiWiX7qeOj	10.4.18.104	49191	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.969728	CJO0iW2zTREH2sgDwl	10.4.18.104	49193	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.969811	CpAdDy1PrD9zIrheNd	10.4.18.104	49195	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.969835	CHF2bC35RYgxvdQr06	10.4.18.104	49196	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.969880	CDfjgP3DLZeQVNYCvg	10.4.18.104	49198	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.969880	Cu0Ny3XbT7qk4UAtk	10.4.18.104	49197	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.969882	Cy1q2B2Xa3LhtXNK5j	10.4.18.104	49199	172.217.9.174	80	premature_connection_reuse	-	F	zeek
1568624405.969892	CkekFi1aAYhVjlrxDb	10.4.18.104	49200	216.58.218.100	80	premature_connection_reuse	-	F	zeek
1568624405.970107	C8Dv0tK4px729hEzf	10.4.18.104	49201	216.58.218.100	443	premature_connection_reuse	-	F	zeek
1568624405.970175	CxhmyJ5YujkSLcYm3	10.4.18.104	49202	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.970177	C6WzSWjIQzYXBcPZg	10.4.18.104	49203	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.970210	CAyG0R378VgsURorBg	10.4.18.104	49204	195.245.112.5	443	premature_connection_reuse	-	F	zeek
