#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	known_domains
#open	2019-02-15-16-26-46
#fields	ts	domain
#types	time	string
1550266006.402948	github.com
1550266230.538953	630f030ca896412cb460dea77973c67fa316c2ce.malware.hash.cymru.com
1550266314.982957	_http._tcp.ftp.us.debian.org
1550266315.006926	ftp-chi.osuosl.org
1550266453.836364	inglotcosmetics.com
1550266453.836364	st.domandvilma.com
1550266453.836364	sdf.21kilos.com
1550266453.836677	google.com
1550266453.836715	dcbuwccouispn.info
1550266453.836737	nykoantpydkvsmqqrjtctt.info
1550266453.836809	dzgddgiowhm.info
1550266453.836832	kqcpbgcxbgylzgsadxb.org
1550266453.836853	qtbtqnuubwzibkriqg.org
1550266453.836883	dslmkpgjvuisnqa.com
1550266453.836903	dpsjwmwzuwnicaq.biz
1550266453.836935	coxrwiuxkcausxnlbgjmakxrw.net
1550266453.836960	bxlwdhpnkbrmw.com
1550266453.836986	qtcoickldqbvtrwyfqjflt.org
1550266453.837008	jutngoyfcngragcdei.info
1550266453.837044	cenpksygb.org
1550266453.837071	ripygqgosebdxtmbfbueiixa.org
1550266453.837101	yqwjvhxgaiszygziq.org
1550266453.837127	ygjqujokmwmccld.org
1550266453.837152	gjcybzvmvir.com
1550266453.943825	b2908859caca1f2f38cd54a8efc0e059ad7a8208.malware.hash.cymru.com
1550266473.608821	ssl.bing.com
1550266473.608821	www.ciniholland.nl
1550266473.608821	adultbiz.in
1550266473.609288	www.youtube.com
1550266473.609928	s.ytimg.com
1550266473.610749	24corp-shop.com
1550266473.612701	stand.trustandprobaterealty.com
1550266473.614204	i.ytimg.com
1550266473.623514	java.com
1550266473.886072	96.233.125.74.in-addr.arpa
1550266474.051043	hijinksensue.com
1550266474.051138	w.sharethis.com
1550266474.051226	www.thehiveworks.com
1550266474.051229	www.hijinksensue.com
1550266474.051499	s0.wp.com
1550266474.051503	stats.wp.com
1550266474.053362	i.imgur.com
1550266474.053380	www.google-analytics.com
1550266474.053383	intensedebate.com
1550266474.053386	cdn.thehiveworks.com
1550266474.053526	static.charlotteretirementcommunities.com
1550266474.059042	ads.thehiveworks.com
1550266474.059651	g.trinketking.com
1550266474.061510	pixel.wp.com
1550266474.061903	wd-edge.sharethis.com
1550266474.062506	h.trinketking.com
1550266474.066060	l.sharethis.com
1550266474.066064	seg.sharethis.com
1550266474.066068	tag.contextweb.com
1550266474.066257	ads.contextweb.com
1550266474.066293	edge.sharethis.com
1550266474.066573	ads-by.madadsmedia.com
1550266474.066576	pagead2.googlesyndication.com
1550266474.066592	bh.contextweb.com
1550266474.066595	pixel.quantserve.com
1550266474.066921	googleads.g.doubleclick.net
1550266474.066958	sync.mathtag.com
1550266474.066961	i.w55c.net
1550266474.066966	contextweb.pixel.invitemedia.com
1550266474.066970	ib.adnxs.com
1550266474.066973	m.xp1.ru4.com
1550266474.066981	pcm1.map.pulsemgr.com
1550266474.067001	ad.turn.com
1550266474.067004	cm.g.doubleclick.net
1550266474.067007	contextweb-match.dotomi.com
1550266474.067019	um.simpli.fi
1550266474.067022	connexity.net
1550266474.067025	idpix.media6degrees.com
1550266474.067028	match.adsrvr.org
1550266474.067031	magnetic.t.domdex.com
1550266474.067034	um.eqads.com
1550266474.067037	cm.adgrx.com
1550266474.067071	pxgp2.adpredictive.com
1550266474.067074	pixel.sitescout.com
1550266474.067083	cw-m.d.chango.com
1550266474.067086	px.owneriq.net
1550266474.067102	www.wtp101.com
1550266474.067106	pulsepoint-cm.p.veruta.com
1550266474.067267	edge.quantserve.com
1550266474.067270	ads.rubiconproject.com
1550266474.067273	pixel.madadsmedia.com
1550266474.067392	x.bidswitch.net
1550266474.068054	bid.g.doubleclick.net
1550266474.068068	cdn.turn.com
1550266474.068114	dtm.westelm.com
1550266474.068287	optimized-by.rubiconproject.com
1550266474.068794	us-u.openx.net
1550266474.068816	pixel.rubiconproject.com
1550266474.068819	ad.afy11.net
1550266474.068823	ads.yahoo.com
1550266474.068826	ce.lijit.com
1550266474.068830	www.facebook.com
1550266474.068833	ads.stickyadstv.com
1550266474.068854	e.nexac.com
1550266474.068858	image2.pubmatic.com
1550266474.068861	ih.adscale.de
1550266474.068864	ad.sxp.smartclip.net
1550266474.068865	dsum.casalemedia.com
1550266474.068866	ums.adtech.de
1550266474.068867	rtb-csync.smartadserver.com
1550266474.068905	sync.search.spotxchange.com
1550266474.068908	sync.adap.tv
1550266474.068956	ad.360yield.com
1550266474.069047	tpc.googlesyndication.com
1550266474.069133	cc.chango.com
1550266474.069562	r.turn.com
1550266474.069924	ad.doubleclick.net
1550266474.070031	tap2-cdn.rubiconproject.com
1550266474.070058	tags.bluekai.com
1550266474.070229	d.turn.com
1550266474.070446	cdn.spotxchange.com
1550266474.071354	acuityplatform.com
1550266474.071360	rbp.emea.mxptint.net
1550266474.071363	pixel.tapad.com
1550266474.071399	sync.tidaltv.com
1550266474.071405	rtb.revenuemantra.com
1550266474.071408	ads.p161.net
1550266474.071411	c1.adform.net
1550266474.071414	p.rfihub.com
1550266474.071457	rubicon-cm.p.veruta.com
1550266474.071537	r.254a.com
1550266474.071540	ww1.collserve.com
1550266474.071544	s1.2mdn.net
1550266474.071670	adadvisor.net
1550266474.071854	csi.gstatic.com
1550266474.072595	www.adadvisor.net
1550266474.073244	www.projectwonderful.com
1550266474.073878	time.windows.com
1550266474.547029	www.google.at
1550266474.547250	ssl.gstatic.com
1550266474.547419	www.gstatic.com
1550266474.551638	dsms0mj1bbhn4.cloudfront.net
1550266474.553610	analytics.shareaholic.com
1550266474.556869	netdna.bootstrapcdn.com
1550266474.556873	adstairs.ro
1550266474.558156	lifeinsidedetroit.com
1550266474.559452	qwe.mvdunalterableairreport.net
1550266474.559471	fonts.gstatic.com
1550266474.564502	www.earthtools.org
1550266474.564516	www.ecb.europa.eu
1550266474.565179	etgibmyhmbzjoyut1.com
1550266474.565198	jdtcjdyqjyousia.com
1550266474.565215	zcjipitikrhabk.com
1550266474.565229	xxrdwspble4u.com
1550266474.565245	aemmiphbweeuef59.com
1550266474.566525	static-shareaholic.s3.amazonaws.com
1550266474.567304	s3.amazonaws.com
1550266474.567307	shareaholic.com
1550266474.571832	partner.shareaholic.com
1550266474.573814	ums.adtechus.com
1550266474.573854	dsum-sec.casalemedia.com
1550266474.574702	gcm.chango.com
1550266474.609061	dac3d479ce4af6d2ffd5314191e768543acfe32d.malware.hash.cymru.com
1550266474.831060	109.230.125.74.in-addr.arpa
1550266475.007052	www.excelforum.com
1550266475.007117	magggnitia.com
1550266475.010109	cdn-static.formisimo.com
1550266475.011294	code.jquery.com
1550266475.013804	tracking.formisimo.com
1550266475.013859	www.google.com
1550266475.014584	digiwebname.in
1550266475.439170	dns.msftncsi.com
1550266475.439559	www.bing.com
1550266475.440058	www.newsnow.co.uk
1550266475.440174	ajax.googleapis.com
1550266475.440183	s.newsnow.net
1550266475.440235	rtax.criteo.com
1550266475.440262	files.adspdbl.com
1550266475.443549	node.adspdbl.com
1550266475.444933	fbstatic-a.akamaihd.net
1550266475.446135	cdn.w55c.net
1550266475.449198	www4.smartadserver.com
1550266475.449201	cti.w55c.net
1550266475.449442	bannerfarm.jochen-schweizer.de
1550266475.449447	c.betrad.com
1550266475.450307	l.betrad.com
1550266475.450373	tags.w55c.net
1550266475.450963	www.theopen.be
1550266475.451042	col.reganhosting.com
1550266475.451517	epzqy.iphaeba.eu
1550266475.460491	www.adobe.com
1550266475.462496	wwwimages.adobe.com
1550266475.464321	965da0c6cdb44e29aedf8546884b509b7268912a.malware.hash.cymru.com
1550266475.466254	login.live.com
1550266475.466272	sullymansion.com
1550266475.466342	assets.insideout.com
1550266475.466421	inndx.com
1550266475.466426	farm7.static.flickr.com
1550266475.466428	lite.piclens.com
1550266475.466852	js.insideout.com
1550266475.470845	ssl.google-analytics.com
1550266475.816069	111.116.194.173.in-addr.arpa
1550266475.990969	af552b8d2cc1445dee56c8bd830fb322fc9e583a.malware.hash.cymru.com
1550266476.102659	fe77dd65a65d6d16515f21935a7c8e191634973d.malware.hash.cymru.com
1550266476.427395	petradesign.com
1550266476.430879	stun.l.google.com
1550266477.060292	17.112.194.173.in-addr.arpa
1550266477.104093	15add2fdcd6f4ee6a16ae2c8557aaba8bf2943d3.malware.hash.cymru.com
1550266477.104916	84e8bdc5611f8ef8e6473bd38cc625341832b7d3.malware.hash.cymru.com
1550266477.395007	freeforsgames.com
1550266477.395039	20.c368.464.75b43b.e3161.dec8.033da1.8c.hl39dj2plwle.lowamounts.in
1550266477.402360	lilufiders.ru
1550266477.403441	ip-addr.es
1550266477.410655	nsa.dianamyinfin.xyz
1550266477.410731	jufugers.ru
1550266477.411156	paytoc4gtpn5czl2.torforall.com
1550266477.779053	23.232.125.74.in-addr.arpa
1550266477.867007	api.ipify.org
1550266477.867060	o3qz25zwu4or5mak.tor2web.org
1550266477.867088	www.download.windowsupdate.com
1550266478.227012	vestegnenbordtennis.dk
1550266478.227601	ocsp.digicert.com
1550266478.227713	ocsp.usertrust.com
1550266478.227746	ocsp.comodoca.com
1550266478.227856	processhacker.sourceforge.net
1550266478.227907	ocsp.globalsign.com
1550266478.227951	crl2.alphassl.com
1550266478.232429	o3qz25zwu4or5mak.tor2web.ru
1550266478.232453	tools.google.com
1550266478.428756	84.61.253.131.in-addr.arpa
1550266478.635226	checkip.dyndns.org
1550266478.635276	harveyouellet.com
1550266478.635358	cwvancouver.com
