#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	known_hosts
#open	2019-02-15-16-34-13
#fields	ts	host
#types	time	addr
1550266453.836364	192.168.122.149
1550266473.608821	172.16.165.165
1550266474.051054	172.16.165.132
1550266474.547013	192.168.137.62
1550266475.007029	192.168.204.137
1550266475.439568	192.168.204.139
1550266475.439606	192.168.204.146
1550266476.427020	172.16.120.154
1550266476.898997	192.168.138.158
1550266477.867010	192.168.120.154
1550266478.635231	172.16.137.40
1550266479.071360	192.168.137.81
1550266479.583158	10.10.100.139
1550266480.603079	172.16.101.196
1550266481.135097	172.16.138.158
1550266481.791132	192.168.122.200
1550266482.339012	10.200.2.252
1550266483.207009	192.168.122.163
