#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	software
#open	2019-02-15-16-27-02
#fields	ts	host	host_p	software_type	name	version.major	version.minor	version.minor2	version.minor3	version.addl	unparsed_version	o_host	QQ_num	o_host
#types	time	addr	port	enum	string	count	count	count	count	string	string	addr	string	addr
1550266022.582924	10.220.170.105	-	SSH::CLIENT	OpenSSH	7	9	-	-	-	OpenSSH_7.9	-	-	-
1550266453.836364	192.168.122.149	-	HTTP::BROWSER	MSIE	10	0	-	-	-	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)	-	-	-
1550266473.608821	172.16.165.165	-	HTTP::BROWSER	MSIE	8	0	-	-	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	-	-	-
1550266473.623451	172.16.165.165	-	HTTP::BROWSER	Java	1	6	0	25	-	Mozilla/4.0 (Windows 7 6.1) Java/1.6.0_25	-	-	-
1550266474.051058	172.16.165.132	-	HTTP::BROWSER	MSIE	10	0	-	-	-	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)	-	-	-
1550266474.062544	172.16.165.132	-	HTTP::BROWSER	<unknown browser>	-	-	-	-	-	Mozilla/4.0 (compatible; Win32; WinHttp.WinHttpRequest.5)	-	-	-
1550266474.547020	192.168.137.62	-	HTTP::BROWSER	MSIE	9	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)	-	-	-
1550266475.007032	192.168.204.137	-	HTTP::BROWSER	MSIE	8	0	-	-	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729)	-	-	-
1550266475.019018	192.168.204.137	-	HTTP::BROWSER	Java	1	6	0	25	-	Mozilla/4.0 (Windows 7 6.1) Java/1.6.0_25	-	-	-
1550266475.439584	192.168.204.139	-	HTTP::BROWSER	MSIE	10	0	-	-	-	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)	-	-	-
1550266475.440048	192.168.204.146	-	HTTP::BROWSER	MSIE	11	0	-	-	-	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	-	-	-
1550266475.464482	192.168.204.137	-	HTTP::BROWSER	Mozilla	-	-	-	-	-	Mozilla	-	-	-
1550266476.427024	172.16.120.154	-	HTTP::BROWSER	MSIE	8	0	-	-	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)	-	-	-
1550266476.427409	172.16.120.154	-	HTTP::BROWSER	<unknown browser>	-	-	-	-	-	Mozilla/4.0	-	-	-
1550266476.899005	192.168.138.158	-	HTTP::BROWSER	MSIE	8	0	-	-	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	-	-	-
1550266476.931162	192.168.138.158	-	HTTP::BROWSER	Java	1	6	0	25	-	Mozilla/4.0 (Windows 7 6.1) Java/1.6.0_25	-	-	-
1550266477.867096	192.168.120.154	-	HTTP::BROWSER	Microsoft-CryptoAPI	6	1	-	-	-	Microsoft-CryptoAPI/6.1	-	-	-
1550266478.635236	172.16.137.40	-	HTTP::BROWSER	<unknown browser>	-	-	-	-	-	Mozilla/5.0	-	-	-
1550266478.638808	172.16.137.40	-	HTTP::BROWSER	Microsoft-CryptoAPI	6	1	-	-	-	Microsoft-CryptoAPI/6.1	-	-	-
1550266479.071365	192.168.137.81	-	HTTP::BROWSER	Microsoft NCSI	-	-	-	-	-	Microsoft NCSI	-	-	-
1550266479.071763	192.168.137.81	-	HTTP::BROWSER	MSIE	10	0	-	-	-	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)	-	-	-
1550266479.583160	10.10.100.139	-	HTTP::BROWSER	Microsoft NCSI	-	-	-	-	-	Microsoft NCSI	-	-	-
1550266479.583226	10.10.100.139	-	HTTP::BROWSER	MSIE	8	0	-	-	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	-	-	-
1550266479.589182	10.10.100.139	-	HTTP::BROWSER	Microsoft BITS	7	5	-	-	-	Microsoft BITS/7.5	-	-	-
1550266479.589766	10.10.100.139	-	HTTP::BROWSER	Shockwave Flash	-	-	-	-	-	Shockwave Flash	-	-	-
1550266479.598164	10.10.100.139	-	HTTP::BROWSER	MSIE	11	0	-	-	-	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.3; Trident/7.0)	-	-	-
1550266479.599687	10.10.100.139	-	HTTP::BROWSER	MSIE	8	0	-	-	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	-	-	-
1550266479.601585	10.10.100.139	-	HTTP::BROWSER	Java	1	7	0	9	-	Mozilla/4.0 (Windows 7 6.1) Java/1.7.0_09	-	-	-
1550266479.617456	10.10.100.139	-	HTTP::BROWSER	MSIE	9	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)	-	-	-
1550266479.618276	10.10.100.139	-	HTTP::BROWSER	MSIE	11	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/7.0)	-	-	-
1550266479.618282	10.10.100.139	-	HTTP::BROWSER	MSIE	9	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)	-	-	-
1550266479.622089	10.10.100.139	-	HTTP::BROWSER	MSIE	11	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/7.0)	-	-	-
1550266479.622197	10.10.100.139	-	HTTP::BROWSER	MSIE	9	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)	-	-	-
1550266479.622266	10.10.100.139	-	HTTP::BROWSER	MSIE	11	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/7.0)	-	-	-
1550266479.622279	10.10.100.139	-	HTTP::BROWSER	MSIE	9	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)	-	-	-
1550266479.622784	10.10.100.139	-	HTTP::BROWSER	MSIE	11	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/7.0)	-	-	-
1550266479.623960	10.10.100.139	-	HTTP::BROWSER	MSIE	9	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)	-	-	-
1550266479.623966	10.10.100.139	-	HTTP::BROWSER	MSIE	11	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/7.0)	-	-	-
1550266479.632841	10.10.100.139	-	HTTP::BROWSER	MSIE	9	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)	-	-	-
1550266479.632845	10.10.100.139	-	HTTP::BROWSER	MSIE	11	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/7.0)	-	-	-
1550266479.643800	10.10.100.139	-	HTTP::BROWSER	MSIE	8	0	-	-	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	-	-	-
1550266479.658592	10.10.100.139	-	HTTP::BROWSER	MSIE	11	0	-	-	-	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.3; Trident/7.0)	-	-	-
1550266479.660299	10.10.100.139	-	HTTP::BROWSER	MSIE	8	0	-	-	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	-	-	-
1550266479.677918	10.10.100.139	-	HTTP::BROWSER	MSIE	9	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)	-	-	-
1550266479.678773	10.10.100.139	-	HTTP::BROWSER	MSIE	11	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/7.0)	-	-	-
1550266479.678778	10.10.100.139	-	HTTP::BROWSER	MSIE	9	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)	-	-	-
1550266479.682402	10.10.100.139	-	HTTP::BROWSER	MSIE	11	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/7.0)	-	-	-
1550266479.682894	10.10.100.139	-	HTTP::BROWSER	MSIE	9	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)	-	-	-
1550266479.683474	10.10.100.139	-	HTTP::BROWSER	MSIE	11	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/7.0)	-	-	-
1550266479.684539	10.10.100.139	-	HTTP::BROWSER	MSIE	9	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)	-	-	-
1550266479.684544	10.10.100.139	-	HTTP::BROWSER	MSIE	11	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/7.0)	-	-	-
1550266479.693655	10.10.100.139	-	HTTP::BROWSER	MSIE	9	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)	-	-	-
1550266479.693660	10.10.100.139	-	HTTP::BROWSER	MSIE	11	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/7.0)	-	-	-
1550266479.703432	10.10.100.139	-	HTTP::BROWSER	MSIE	8	0	-	-	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	-	-	-
1550266479.718519	10.10.100.139	-	HTTP::BROWSER	MSIE	11	0	-	-	-	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.3; Trident/7.0)	-	-	-
1550266479.720226	10.10.100.139	-	HTTP::BROWSER	MSIE	8	0	-	-	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	-	-	-
1550266479.737721	10.10.100.139	-	HTTP::BROWSER	MSIE	9	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)	-	-	-
1550266479.738630	10.10.100.139	-	HTTP::BROWSER	MSIE	11	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/7.0)	-	-	-
